190	b¤a	bodily strength, force, power, might ,
191	biãzv	to constrain ,
192	b¤ow	life ,
193	biÒv	to live, pass one's life ,
194	blãptv	to disable, hinder, stop ,
195	bl°pv	to see, have the power of sight ,
196	boÆyeia	help, aid, rescue, support ,
197	bohy°v	to come to aid, to succour, assist, aid ,
198	bouleÊv	to take counsel, deliberate, concert measures ,
199	boulÆ	will, determination ,
200	boÊlomai	to will, wish, be willing ,
201	braxÊw	short ,
202	gãr	for ,
203	ge	at least, at any rate ,
204	gelãv	to laugh ,
205	g°loiow	causing laughter, laughable ,
206	g°nesiw	an origin, source, productive cause ,
207	genna›ow	suitable to one's birth or descent ,
208	gennãv	to beget, engender ,
209	g°now	race, stock, family ,
210	gevrg¤a	tillage, agriculture, farming ,
211	g∞	earth ,
212	g¤gnomai	to come into being ,
213	gign≈skv	to learn to know, to perceive,
214	gunÆ	a woman ,
215	gnÆsiow	of or belonging to the race ,
216	gn≈mh	a means of knowing, a mark, token ,
217	goËn	at least then, at any rate, any way ,
218	grãmma	that which is drawn ,
219	grafÆ	representation by means of lines ,
220	grãfv	to scratch, scrape, graze ,
221	daimÒniow	of or belonging to a da¤mvn ,
222	da¤mvn	a god, goddess ,
223	d°	but ,
224	de›	it is necessary
225	de¤dv	to fear ,
226	de¤knumi	to bring to light, display, exhibit ,
227	deilÒw	cowardly, craven ,
228	deinÒw	fearful, terrible, dread, dire ,
229	d°ka	ten ,
230	d°on	that which is binding, needful, right, proper ,
231	deËro	hither ,
232	despÒthw	a master, lord, the master of the house ,
233	deÊterow	second ,
234	d°xomai	to take, accept, receive ,
235	d°v	bind ,
236	dÆ	exactness ,
237	d∞low	visible, conspicuous ,
238	dhlÒv	to make visible or manifest, to show, exhibit ,
239	dhmhgor°v	to speak in the assembly ,
240	dhmiourgÒw	one who works for the people, a skilled workman,
241	dhmokrat¤a	democracy, popular government ,
242	d∞mow	a country-district, country, land ,
243	dhmos¤&	,
244	dhmÒsiow	belonging to the people or state ,
245	dhmÒthw	one of the people, a commoner, plebeian ,
246	dÆpou	perhaps, it may be ,
247	d∞ta	certainly, to be sure, of course ,
248	diã	through c. gen. through, by means of c. acc. ,
249	diabãllv	to throw over or across, to carry over or across ,
250	diabolÆ	false accusation, slander, calumny ,
251	diagign≈skv	to distinguish, discern ,
252	diayÆkh	a disposition ,
253	diair°v	to take one from another, to divide into parts ,
254	diãkeimai	to be in a certain state, to be disposed or affected ,
255	dial°gv	to pick out one from another, to pick out ,
256	dialÊv	to loose one from another, to part asunder, undo ,
257	diano°omai	to be minded, intend, purpose ,
258	diãnoia	a thought, intention, purpose ,
259	diã-ır¤zv	,
260	diaprãssv	to pass over ,
261	diarrÆdhn	expressly, distinctly, explicitly ,
262	diatel°v	to bring quite to an end, accomplish ,
263	diat¤yhmi	to place separately, arrange ,
264	diatribÆ	a way of spending time ,
265	diatr¤bv	to rub between/hard/away; consume, waste
266	diaferÒntvw	differently from, at odds with ,
267	diaf°rv	to carry over or across ,
268	diafye¤rv	to destroy utterly ,
269	diaforã	difference, distinction ,
270	diãforow	different, unlike ,
271	didaktÒw	taught, learnt ,
272	didãskalow	a teacher, master ,
273	didãskv	to teach ,
274	d¤dvmi	to give ,
275	di°jeimi	to go out through, pass through ,
276	diej°rxomai	to go through, pass through ,
277	di°rxomai	to go through, pass through ,
278	dihg°omai	to set out in detail, describe in full ,
279	dikãzv	to judge, to give judgment on ,
280	d¤kaiow	just ,
281	dikaiosÊnh	righteousness, justice ,
282	dikaiÒv	to set right ,
283	dikastÆrion	a court of justice ,
284	dikastÆw	a judge ,
285	d¤kh	custom, usage ,
286	diÒ	wherefore, on which account ,
287	dioik°v	to manage a house ,
288	diÒti	for the reason that, since ,
289	d¤w	twice, doubly ,
290	di≈kv	to pursue ,
291	dÊnamai	to be able, capable, strong enough ,
292	dÊnamiw	power, might, strength ,
293	dunatÒw	strong, mighty, able ,
294	dÊo	two ,
295	dok°v	videor mihi, to think, suppose, imagine, expect ,
296	dokimãzv	to assay or test ,
297	douleÊv	to be a slave ,
298	doËlow	a born bondman or slave ,
299	dÒja	a notion ,
300	dojãzv	to think, imagine, suppose, fancy, conjecture ,
301	draxmÆ	a handful ,
302	drãv	to do ,
303	dÊv	to strip off ,
304	dvreã	a gift, present ,
305	dvreiã	,
306	dvrodok°v	to accept as a present ,
307	d«ron	a gift, present ,
308	§ãn	if,
309	•autoË	itself, absolutely ,
310	§ãv	to let, suffer, allow, permit ,
311	§gguãv	to give or hand over as a pledge ,
312	§gg¤gnomai	to be born or bred in ,
313	§ggrãfv	to mark in or on, to paint on ,
314	§ggÊw	near, nigh, at hand ,
315	§gkal°v	to call in ,
316	¶gklhma	an accusation, charge, complaint ,
317	§gkvmiãzv	to praise, laud, extol ,
318	§g≈	ego ,
319	§y°lv	to will, wish, purpose ,
320	§y¤zv	to accustom, use ,
321	¶yow	custom, habit ,
322	¶yv	to be accustomed ,
323	efi	whether. ,
324	e‰don	to see, perceive, behold ,
325	e‰dow	that which is seen, form, shape, figure ,
326	e‰en	well! ,
327	efikãzv	to make like to, represent by a likeness, portray ,
328	efikÒw	like truth ,
329	e‡kosi	twenty ,
330	efikÒtvw	in all likelihood, suitably, reasonably, naturally ,
331	efik≈n	a likeness, image, portrait ,
332	efim¤	to be, to exist ,
333	e‰mi	to go ,
334	e‡per	if (indeed) ,
335	e‰pon	to speak, say ,
336	e‡rgv	shut in, shut out, exclude from
337	eÂw	one ,
338	efiw	into, to c. acc. ,
339	efisagg°llv	to go in and announce ,
340	efisãgv	to lead in or into, to introduce ,
341	e‡seimi	to go into ,
342	efis°rxomai	to go in or into, enter ,
343	efis¤hmi	to send into ,
344	efisf°rv	to carry into or to ,
345	e‰ta	then, next ,
346	e‡te	,
347	§k	from out of ,
348	ßkastow	every, every one, each, each one ,
349	•kãstote	each time, on each occasion ,
350	•kãterow	each of two, either, each singly ,
351	•katÒn	a hundred ,
352	§kbãllv	to throw or cast out of ,
353	¶kgonow	born of, sprung from ,
354	§kd¤dvmi	to give up, surrender ,
355	§ke›	there, in that place ,
356	§ke›now	the person there, that ..
357	§ke›se	thither, to that place ,
358	§kklhs¤a	an assembly of the citizens, the legislative assembly,
359	§kp°mpv	to send out or forth from ,
360	§kpl°v	to sail out, sail away, weigh anchor ,
361	§kplÆgnumi	,
362	•k≈n	willing, of free will, readily ,
363	§laÊnv	to drive, drive on, set in motion ,
364	§lassÒv	to make less or smaller, to lessen, diminish, lower ,
365	§lãssvn	smaller, less ,
366	§lãxistow	the smallest, least ,
367	¶legxow	a cross-examining, testing ,
368	§l°gxv	to disgrace, put to shame ,
369	§le°v	to have pity on, shew mercy upon ,
370	§leuyer¤a	freedom, liberty ,
371	§leÊyerow	free ,
372	§leuyerÒv	to free, set free ,
373	§lp¤zv	to hope for, look for, expect ,
374	§lp¤w	hope, expectation ,
375	§mautoË	of me, of myself ,
376	§mbãllv	to throw in, put in ,
377	§mÒw	mine ,
378	¶mpeirow	experienced or practised in ,
379	§mp¤ptv	to fall in or upon or into ,
380	¶mprosyen	before, in front ,
381	§n	in, among. c. dat. ,
382	§nant¤on	,
383	§nantiÒomai	to set oneself against, oppose, withstand ,
384	§nant¤ow	opposite ,
385	§ndeÆw	in need of ,
386	§nde¤knumi	to mark, point out ,
387	§nd¤dvmi	to give in ,
388	§n-efim¤	,
389	ßneka	on account of, for the sake of, because of, for ,
390	§nyãde	thither, hither ,
391	§ny°nde	hence, from this quarter ,
392	§nyum°omai	to lay to heart, consider well, reflect on, ponder ,
393	§niautÒw	any long period of time, a cycle, period ,
394	¶nioi	some ,
395	§n¤ote	sometimes ,
396	§nno°v	to have in one's thoughts, to think, consider,
397	¶noxow	held in ,
398	§ntaËya	here, there ,
399	§ntugxãnv	to light upon, fall in with, meet with ,
400	§nteËyen	hence or thence ,
401	§ntÒw	within, inside ,
402	§jair°v	to take out of ,
403	§jamartãnv	to err from the mark, fail ,
404	§japatãv	to deceive or beguile thoroughly ,
405	§jelaÊnv	to drive out from ,
406	§jel°gxv	to convict, confute, refute ,
407	§jeur¤skv	to find out, discover ,
408	§j°rxomai	to go or come out of ,
409	¶jesti	it is allowed, it is in one's power, is possible ,
410	§jetãzv	to examine well or closely, inquire into, scrutinise,
411	§j¤hmi	to send out, let ,
412	ßjiw	a having, possession ,
413	§jous¤a	power or authority ,
414	¶jv	out (-side) ,
415	¶jvyen	from without ,
416	¶oika	to be like ,
417	§oikÒtvw	similarly, like ,
418	§pagg°llv	to tell, proclaim, announce ,
419	§pain°v	to approve, applaud, commend ,
420	¶painow	approval, praise, commendation ,
421	§pe¤	after that, after, since, when,
422	§peidãn	when (ever) ,
423	¶peimi	to be upon ,
424	¶peita	thereupon ,
425	§p°xv	to have or hold upon ,
426	§p¤	on, upon with gen., dat., and acc. ,
427	§pibouleÊv	to plan or contrive against ,
428	§pide¤knumi	to exhibit as a specimen ,
429	§pidhm°v	to be at home, live at home ,
430	§pid¤dvmi	to give besides ,
431	§pieikÆw	fitting, meet, suitable ,
432	§piyum°v	to set one's heart upon ,
433	§piyum¤a	desire, yearning, longing ,
434	§pilÆyv	to cause to forget ,
435	§pim°leia	care, attention ,
436	§pimel°omai	to take care of, have charge of, have the management
437	§pisk°ptomai	,
438	§p¤stamai	to know ,
439	§pistÆmh	acquaintance with ,
440	§pistÆmvn	knowing, wise, prudent ,
441	§pistolÆ	a message, command, commission ,
442	§pitãssv	to put upon ,
443	§pitÆdeiow	made for an end or purpose, fit or adapted for it,
444	§pitÆdeuma	a pursuit, business, practice ,
445	§pithdeÊv	to pursue or practise ,
446	§pit¤yhmi	to lay, put or place upon ,
447	§pitr°pv	to turn towards ,
448	§p¤tropow	one to whom a charge is entrusted, a trustee,
449	§pixeir°v	to put one's hand on ,
450	ßpomai	follow,
451	§ponomãzv	to give a surname: to name or call ,
452	¶pow	a word ,
453	§rastÆw	a lover ,
454	§rastÒw	beloved, lovely ,
455	§rãv	love,
456	§rgãzomai	to work, labour ,
457	§rgas¤a	work, daily labour, business ,
458	¶rgnumi	to confine ,
459	¶rgon	work ,
460	§r∞mow	desolate, lone, lonely, lonesome, solitary ,
461	¶romai	to ask, enquire ,
462	¶rxomai	to come or go ,
463	§r«	I will say or speak ,
464	¶rvw	love ,
465	§rvtãv	to ask ,
466	§sy¤v	to eat ,
467	¶sxatow	outermost ,
468	•ta›row	a comrade, companion, mate ,
469	ßterow	one of the ,
470	¶ti	yet, as yet, still ,
471	•to›mow	at hand, ready, prepared ,
472	¶tow	a year ,
473	eÔ	well ,
474	eÈdaimon¤a	prosperity, good fortune, wealth, weal, happiness ,
475	eÈda¤mvn	blessed with a good genius; ,
476	eÈdokim°v	to be of good repute, to be held in esteem, honoured,
477	eÈerges¤a	well-doing ,
478	eÈyÊw	immediately, straight
479	eÎnoia	good-will, favour, kindness ,
480	eÎnouw	well-minded, well-disposed, kindly, friendly ,
481	eÍr¤skv	to find ,
482	eÎxomai	to pray, offer prayers, pay one's vows, make a vow
483	§f¤sthmi	to set or place upon ,
484	¶xyra	hatred, enmity
485	§xyrÒw	hated, hateful ,
486	¶xiw	an adder, viper ,
487	¶xv	to have or to hold ,
488	ßvw	until, till ,
489	zãv	to live ,
490	z°v	to boil, seethe ,
491	zhm¤a	loss, damage ,
492	zhmiÒv	to cause loss or do damage to ,
493	zht°v	to seek, seek for ,
494	z“on	a living being, animal ,
495	√	which way, where, whither, in or at what place ,
496	≥	or ,
497	∑	in truth, truly, verily, of a surety ,
498	≤gem≈n	one who leads ,
499	≤g°omai	to go before, lead the way ,
500	≥dh	by this time, before this, already ,
501	¥domai	to enjoy oneself, take delight, take one's pleasure ,
502	≤donÆ	delight, enjoyment, pleasure ,
503	≤dÊw	sweet ,
504	¥kistow	least ,
505	¥kv	to have come, be present, be here ,
506	≤lik¤a	time of life, age ,
507	¥liow	the sun ,
508	≤m°ra	day ,
509	¥merow	tame, tamed, reclaimed ,
510	≤m°terow	our ,
511	¥misuw	half ,
512	≤n¤ka	at which time, when ,
513	≥peirow	terra-firma, the land ,
514	≤ssãomai	to be less than another, inferior to ,
515	¥ssvn	less, weaker, less brave ,
516	≤sux¤a	stillness, rest, quiet ,
517	±≈w	the morning red, daybreak, dawn ,
518	yãlassa	the sea ,
519	yaumãzv	to wonder, marvel, be astonied ,
520	yaumãsiow	wondrous, wonderful, marvellous ,
521	yaumastÒw	wondrous, wonderful, marvellous ,
522	yãnatow	death ,
523	yãptv	to pay the last dues to a corpse, to honour with funeral
524	yars°v	to be of good courage, take courage ,
525	yugãthr	a daughter ,
526	y°a	a seeing, looking at, view ,
527	yeã	a goddess ,
528	yeãomai	to look on, gaze at, view, behold ,
529	ye›ow	divine ,
530	yeÒw	god ,
531	yerapeÊv	to be an attendant, do service ,
532	yermÒw	hot, warm ,
533	y°v	to run ,
534	yevr°v	to look at, view, behold ,
535	ynÆskv	to die, be dying ,
536	ynhtÒw	liable to death, mortal ,
537	yorub°v	to make a noise or uproar ,
538	yus¤a	an offering or mode of offering ,
539	yÊv	,
540	fiatrikÒw	of or for a surgeon ,
541	fiatrÒw	one who heals, a mediciner, physician or surgeon ,
542	fid°a	form ,
543	‡diow	one's own, pertaining to oneself ,
544	fidi≈thw	a private person, an individual ,
545	flerÒw	super-human, mighty, divine, wonderful ,
546	·hmi	to set a going, put in motion ,
547	flkanÒw	becoming, befitting, sufficing ,
548	flkanÒv	to make sufficient, qualify ,
549	flmãtion	an outer garment, a cloak or mantle ,
550	·na	in order that , where
551	flppeÊw	a horseman ,
552	flppikÒw	of a horse or horses ,
553	·ppow	a horse, mare ,
554	‡sow	equal to, the same as ,
555	fisÒv	to make equal ,
556	·sthmi	to make to stand ,
557	fisxurÒw	strong, mighty ,
558	‡sxv	to hold, check, curb, keep back, restrain ,
559	‡svw	equally, in like manner ,
560	kayã	according as, just as ,
561	kayarÒw	clear of dirt, clean, spotless, unsoiled ,
562	kãyhmai	to be seated ,
563	kay¤sthmi	to set down, place ,
564	kayÒ	in so far as, according as ,
565	kayorãv	to look down ,
566	ka¤	and ,
567	kairÒw	due measure, proportion, fitness ,
568	ka¤toi	and indeed, and further ,
569	kãkh	wickedness, vice ,
570	kak¤a	badness ,
571	kakÒw	bad ,
572	kal°v	to call, summon ,
573	kãllow	beauty ,
574	kalÒw	beautiful, beauteous, fair ,
575	kãmnv	to work ,
576	kén	and if, even if, although ,
577	katã	down, downwards, with gen. or acc.
578	katag°lastow	ridiculous, absurd ,
579	katagelãv	to laugh at, jeer or mock at ,
580	katagign≈skv	to remark, discover ,
581	katãgv	to lead down ,
582	katalambãnv	to seize upon, lay hold of ,
583	katale¤pv	to leave behind ,
584	katalÊv	to put down, destroy ,
585	katano°v	to observe well, to understand ,
586	kataskeuãzv	to equip or furnish fully ,
587	katat¤yhmi	to place, put ,
588	katafron°v	to think down upon ,
589	kataceÊdomai	to tell lies against, speak falsely of ,
590	katachf¤zomai	to vote against or in condemnation of ,
591	kate›don	to look down ,
592	kat°xv	to hold fast ,
593	kathgor°v	to speak against, to accuse ,
594	kathgor¤a	an accusation, charge ,
595	katÆgorow	an accuser ,
596	ke›mai	to be laid ,
597	keleÊv	to urge or drive on, urge, exhort, bid, order ,
598	kenÒv	to empty out, drain ,
599	kerda¤nv	to gain, derive profit or advantage ,
600	k°rdow	gain, profit, advantage ,
601	kefãlaiow	of the head ,
602	kefalÆ	the head ,
603	k∞ruj	a herald, pursuivant, marshal, public messenger ,
604	kinduneÊv	to be daring, to make a venture, take the risk,
605	k¤ndunow	a danger, risk, hazard, venture, enterprise ,
606	kin°v	to set in motion, to move ,
607	k¤nhsiw	movement, motion ,
608	kÊklow	a ring, circle, round ,
609	kl∞row	a lot; ,
610	klhrÒv	to appoint ,
611	koinÒw	common, shared in common ,
612	koinÒv	to make common, communicate, impart ,
613	koinvn°v	to have or do in common with, have a share of or take
614	kolãzv	to curtail, dock, prune ,
615	kom¤zv	to take care of, provide for ,
616	kosm°v	to order, arrange ,
617	kÒsmow	order ,
618	krat°v	to be strong, mighty, powerful ,
619	krãtistow	strongest, mightiest ,
620	kre¤ssvn	stronger, mightier, more powerful ,
621	kr¤nv	to pick out, choose ,
622	kÊriow	a lord, master ,
623	kr¤siw	a separating, power of distinguishing ,
624	ktãomai	to procure for oneself, to get, gain, acquire ,
625	kt∞ma	anything gotten, a piece of property, a possession ,
626	kvlÊv	to let, hinder, check, prevent ,
627	lagxãnv	to obtain by lot, by fate, by the will of the gods ,
628	lambãnv	to take ,
629	lamprÒw	bright, brilliant, radiant ,
630	lanyãnv	to escape notice, to be unknown, unseen, unnoticed
631	l°gv	to say ,
632	le¤pv	to leave, quit ,
633	leitourg°v	to serve public offices at one's own cost ,
634	leitourg¤a	a liturgy ,
635	lekt°ow	to be said or spoken ,
636	l¤an	very, exceedingly ,
637	log¤zomai	to count, reckon, calculate, compute ,
638	logismÒw	a counting, reckoning, calculation, computation ,
639	lÒgow	word, reason
640	loidor°v	to abuse, revile ,
641	loipÒw	remaining, the rest ,
642	lup°v	to pain, distress, grieve, vex, annoy ,
643	lÊph	pain of body ,
644	lÊv	to loose ,
645	mã	in affirmation ,
646	mãyhma	that which is learnt, a lesson ,
647	ma¤nomai	to rage, be furious ,
648	makãriow	blessed, happy ,
649	makrÒw	long ,
650	mãla	very, very much, exceedingly ,
651	mãlh	the arm-pit ,
652	mãlista	most,
653	mçllon	more, rather
654	manyãnv	to learn ,
655	man¤a	madness, frenzy ,
656	martur°v	to be a witness, give evidence, bear testimony ,
657	martur¤a	witness, testimony, evidence ,
658	mãrtuw	a witness ,
659	mãxh	battle, fight, combat ,
660	mãxomai	to fight ,
661	m°gaw	big, great ,
662	m°geyow	greatness, magnitude, size, height, stature ,
663	meyÒ	after that. ,
664	meirãkion	a boy, lad, stripling ,
665	m°llv	to think of doing, intend to do, to be about to do ,
666	m°lv	to be an object of care or thought ,
667	m°mfomai	to blame, censure, find fault with ,
668	m°n	on the one hand, on the other hand ,
669	m°ntoi	however,
670	m°nv	to stay at home, stay where one is, not stir ,
671	m°row	a part, share ,
672	m°sow	middle, in the middle ,
673	metã	with (+ gen.) , after (+acc)
674	metabãllv	to throw into a different position, to turn quickly ,
675	metad¤dvmi	to give part of, give a share of ,
676	metalambãnv	to have or get a share of, to partake of ,
677	metajÊ	betwixt, between ,
678	m°teimi	to be among ,
679	met°xv	to partake, enjoy a share of; share, take part in ,
680	m°triow	within measure ,
681	m°tron	that by which anything is measured ,
682	m°xri	to a given point, even so far ,
683	mÆ	not ,
684	mhd°	but not or and not, nor ,
685	mhde¤w	and not one ,
686	mhd°pote	never ,
687	mhk°ti	no more, no longer, no further ,
688	m∞kow	length ,
689	mÆn	now verily, full surely ,
690	mÆn	a month,
691	mhnÊv	to disclose what is secret, reveal, betray ,
692	mÆte	and not ,
693	mÆthr	a mother ,
694	mÆtiw	lest any one, lest anything; that no one, that nothing ,
695	mhxanãomai	to prepare, make ready ,
696	mËyow	anything, delivered by word of mouth, word, speech ,
697	m¤gnumi	to mix, mix up, mingle, properly of liquids ,
698	mikrÒw	small, little ,
699	mim°omai	to mimic, imitate, represent, portray ,
700	mimnÆskv	to remind, put ,
701	mis°v	to hate ,
702	misyÒw	wages, pay, hire ,
703	misyÒv	to let out for hire, farm out, let ,
704	mnç	a weight, = ,
705	mnÆmh	a remembrance, memory, record ,
706	mnhmoneÊv	to call to mind, remember ,
707	mo›ra	a part, portion ,
708	mÒnow	alone, left alone, forsaken solitary ,
709	mÒrion	a piece, portion, section ,
710	mousikÒw	of or for music, musical ,
711	mur¤ow	numberless, countless, infinite ,
712	na¤	yea, verily ,
713	naËw	a ship ,
714	n°mv	to deal out, distribute, dispense ,
715	n°ow	young, youthful ,
716	ne≈terow	younger ,
717	nÆ	,
718	n∞sow	an island ,
719	nikãv	to conquer, prevail, vanquish ,
720	nËn	now at this very time ,
721	nund¤	,
722	nun¤	now, at this moment ,
723	nÊj	the night-season or a night ,
724	no°v	mere sight ,
725	nom¤zv	to hold or own as a custom or usage, to use
726	nÒmimow	conformable to custom, usage ,
727	nomoyet°v	to make law ,
728	nomoy°thw	a lawgiver ,
729	nÒmow	a usage, custom, law, ordinance ,
730	nÒsow	sickness, disease, malady ,
731	noËw	mind, perception ,
732	j°now	stranger, guest
733	jenÒv	to make one's friend and guest ,
734	 ̃de	this ,
735	ıdÒw	,
736	 ̃yen	from whom ,
737	o‰da	to know ,
738	o‡kade	to one's home, home, homewards ,
739	ofike›ow	in or of the house, domestic ,
740	ofikeiÒv	to make one's own ,
741	ofik°thw	a house-slave, menial ,
742	ofik°v	to inhabit, occupy ,
743	ofik¤a	a building, house, dwelling ,
