ἀγαθός, ἀγαθή, ἀγαθόν	good
βίβλος, βίβλου, ἡ	book
βίος, βίου, ὁ	life
βλάπτω	I harm, damage
βοάω	I shout
βοή, βοῆς, ἡ	shout
βοηθέω + dat	I help, come to help
βουλή, βουλῆς, ἡ	plan, a council
βούλομαι, βουλήσομαι, ἐβουλήθην 	I wish
βραδύς, βραδεῖα, βραδύ	slow
γάρ	for
γε	at any rate, even, at least
γελάω, γελάσομαι, ἐγέλασα	I laugh
γέρων, γέροντος, ὁ 	old man
γῆ, γῆς, ἡ	land, earth
γίγνομαι, γενήσομαι, ἐγενόμην	I become, happen, occur
γιγνώσκω, γνώσομαι, ἔγνων, ἐγνώσθην	I know, realise, understand
γλῶσσα, γλώσσης, ἡ	tongue, language
γράφω	I write, draw
γυνή, γυναικός, ἡ	woman, wife
δακρύω	I cry, weep
δέ 	but, and
δεῖ, δεήσει, ἐδέησε (with acc + infin) 	it is necessary
δεινός, δεινή, δεινόν	terrible, strange, clever
δεῖπνον, δείπνου, τό	dinner, meal
δέκα	ten
δένδρον, δένδρου, τό	tree
δεσπότης, δεσπότου, ὁ	master
δεύτερος, δευτέρα, δεύτερον	second
δέχομαι, δέξομαι, ἐδεξάμην	I receive, welcome
δή	indeed
δῆμος, δήμου, ὁ	people, community
διά + acc	because of, on account of
διὰ τί;  	why?
διά + gen	through
δι᾿ ὀλίγου 	soon
διαφθείρω, διαφθερῶ, διέφθειρα, διεφθάρην 	I destroy, corrupt
(δίδωμι), δώσω, ἔδωκα	I give (future and aorist indicative active and infinitives only)
δίκαιος, δικαία, δίκαιον	just, fair, upright
διδάσκω, διδάξω, ἐδίδαξα, ἐδιδάχθην 	I teach, tell
διότι	because
διώκω	I chase, pursue, prosecute
δοκεῖ (μοι), δόξει, ἔδοξε	(I) decide (= it seems good (to me))
δοῦλος, δούλου, ὁ	slave
δοῦναι (cf. δίδωμι) 	to give, to have given (aor infin)
δύο, δύο, δύο	two
δυστυχής, δυστυχής, δυστυχές	unlucky
δῶρον, δώρου, τό	present, gift
ἐάν	if
ἑαυτόν, ἑαυτήν, ἑαυτό 	himself, herself, itself, plural themselves (reflexive)
ἐγώ ἐμοῦ	I, (acc etc) me
ἐμός, ἐμή, ἐμόν	my
ἐθέλω, ἐθελήσω, ἠθέλησα	I wish, am willing
εἰ	if
εἰδέναι (cf. οἶδα) 	to know
εἰδώς, εἰδυῖα, εἰδός, (cf. οἶδα) 	knowing
εἰμί, ἔσομαι, ἦν (imperfect) 	I am
εἶμι (cf. ἔρχομαι) 	I shall go
εἰρήνη, εἰρήνης, ἡ	peace
εἰς + acc	to, into
εἰς τοσοῦτον	to such an extent
εἷς, μία, ἕν	one
εἰσβάλλω	I throw into, invade
ἐκ or ἐξ + gen	out of, from
ἕκαστος, ἑκάστη, ἕκαστον	each
ἐκεῖ	there
ἐκεῖνος, ἐκείνη, ἐκεῖνο	that, plural those
ἐκκλησία, ἐκκλησίας, ἡ	assembly, meeting
ἐκφεύγω	I escape
ἐλεύθερος, ἐλευθέρα, ἐλεύθερον	free
῾Ελλάς, ῾Ελλάδος, ἡ	Greece
῞Ελλην, ῞Ελληνος, ὁ	a Greek, Greek man
ἐλπίζω, ἐλπιῶ, ἤλπισα	I hope, expect
ἐν + dat	in, among
ἐνθάδε	here, there
ἐννέα	nine
ἔνοικος, ἐνοίκου, ὁ	inhabitant
ἕξ	six
ἔξεστι(ν) (μοι) 	I am allowed, I can (= it is permitted to me/possible for me)
ἐπεί   	when, since
ἔπειτα	then, afterwards
ἔπί + acc	against, onto, on, at
ἐπιστολή, ἐπιστολῆς, ἡ	letter
ἕπομαι, ἕψομαι, ἑσπόμην + dat	I follow
ἑπτά	seven
ἔργον, ἔργου, τό 	work, task, deed, action
ἔρχομαι, εἶμι, ἦλθον	I go, come
ἐρωτάω, ἐρωτήσω, ἠρόμην (or ἠρώτησα) 	I ask (a question)
ἐσθίω, (ἔδομαι), ἔφαγον	I eat
ἐσπέρα, ἑσπέρας, ἡ	evening
ἔτι	still, yet
ἑτοῖμος, ἑτοίμη, ἑτοῖμον	ready
ἔτος, ἔτους, τό	year
εὖ	well
εὐθύς	immediately, at once
εὑρίσκω, εὑρήσω, ηὗρον, ηὑρέθην	I find
εὐρύς, εὐρεῖα, εὐρύ	wide, broad
εὐτυχής, εὐτυχής, εὐτυχές	lucky, fortunate
ἔφη (cf. φήμι) 	he/she said (with direct speech)
ἐχθρός, ἐχθρά, ἐχθρόν	hostile
ἐχθρός, ἐχθροῦ, ὁ	(personal) enemy
ἔχω (imperfect εἶχον), ἕξω, ἔσχον	I have
ἕως	while, until
Ζεύς, Διός, ὁ	Zeus
ζητέω	I seek
ἤ	or, than
ἤ … ἤ	either … or …
ἡγεμών, ἡγεμόνος, ὁ	guide, leader
ἤδη	already, by now
ἡδύς, ἡδεῖα, ἡδύ	pleasant, sweet
ἡμεῖς, ἡμῶν	we, (acc etc) us
ἡμέτερος, ἡμετέρα, ἡμέτερον	our
ἡμέρα, ἡμέρας, ἡ	day
θάλασσα, θαλάσσης, ἡ	sea
θάνατος, θανάτου, ὁ	death
θάπτω, θάψω, ἔθαψα	I bury
θαυμάζω	I am amazed at, admire
θεά, θεᾶς, ἡ	goddess
θεός, θεοῦ, ὁ	god
θυγάτηρ, θυγατρός, ἡ	daughter
θύρα, θύρας, ἡ	door
θύω	I sacrifice
ἰατρός, ἰατροῦ, ὁ	doctor
ἰέναι (cf. εἶμι) 	to go
ἱερόν, ἱεροῦ, τό	temple
ἱερός, ἱερά, ἱερόν	sacred, holy
ἵνα + subj or opt	in order that, in order to
ἱππεύς, ἱππέως, ὁ 	cavalryman, in plural (the) cavalry
ἵππος, ἵππου, ὁ	horse
ἰσχυρός, ἰσχυρά, ἰσχυρόν	strong
ἰών, ἰοῦσα, ἰόν (cf. εἶμι) 	going
καθεύδω	I sleep
καθίζω, καθιῶ, ἐκάθισα	I (make to) sit down
καί	and, also, even, too
καίπερ + participle	although
καίω, καύσω, ἔκαυσα, ἐκαύθην	I burn, set on fire
κακός, κακή, κακόν	bad, wicked, cowardly
καλέω, καλῶ, ἐκάλεσα, ἐκλήθην	I call, summon
καλός, καλή, καλόν	beautiful, handsome, fine
κατά + acc	according to, by, down, along
κατὰ γῆν	by land
κατὰ θάλασσαν	by sea
κατά + gen	down, down from
κελεύω	I order
κεφαλή, κεφαλῆς, ἡ	head
κίνδυνος, κινδύνου, ὁ	danger
κλέπτω, κλέψω, ἔκλεψα, ἐκλάπην	I steal
κολάζω	I punish
κόπτω, κόψω, ἔκοψα	I cut (down)
κρύπτω	I hide (something)
κρύπτομαι	I hide (myself)
κτάομαι, κτήσομαι, ἐκτησάμην	I obtain, get
κωλύω + infin	I hinder, prevent (someone from doing)
λάθρᾳ	in secret, secretly
Λακεδαιμόνιοι, Λακεδαιμονίων, οἱ 	the Spartans
λαμβάνω, λήψομαι, ἔλαβον, ἐλήφθην	I take, capture
λέγω, ἐρῶ, εἶπον, ἐρρήθην	I say, speak, tell
λείπω, λείψω, ἔλιπον, ἐλείφθην	I leave (behind)
λίθος, λίθου, ὁ	stone
λιμήν, λιμένος, ὁ	harbour
λόγος, λόγου, ὁ	word, speech, argument, story, account, reason
λύω	I loose, untie, set free
μάλιστα	most, very much, especially
μᾶλλον	more
μανθάνω, μαθήσομαι, ἔμαθον	I learn, understand
μάχη, μάχης, ἡ 	battle, fight
μάχομαι, μαχοῦμαι, ἐμαχεσάμην	I fight
μέγας, μεγάλη, μέγα	big, great
μέλλω, μελλήσω, ἐμέλλησα + fut infin 	I intend, am going to, hesitate
… μέν … δέ	[marks a contrast]
μέντοι	however
μένω, μενῶ, ἔμεινα	I wait, remain
μετά + acc	after
μετά + gen	with
μή	not
μηδείς, μηδεμία, μηδέν	no-one, nothing, no
μηδέποτε	never
μήτε … μήτε …	neither … nor …
μήτηρ, μητρός, ἡ	mother
μικρός, μικρά, μικρόν	little, small
μισέω	I hate
μόνος, μόνη, μόνον	alone, only
μόνον	only
μῦθος, μύθου, ὁ	story
μῶρος, μώρα, μῶρον	foolish, stupid
ναῦς, νεώς, ἡ	ship, warship
ναύτης, ναύτου, ὁ	sailor
ναυτικόν, ναυτικοῦ, τό	fleet
νεανίας, νεανίου, ὁ	young man
νεκρός, νεκροῦ, ὁ	corpse
νέος, νέα, νέον	new, young, recent
νῆσος, νήσου, ἡ	island
νικάω	I win, conquer
νίκη, νίκης, ἡ	victory
νομίζω, νομιῶ, ἐνόμισα	I think, consider, believe
νόμος, νόμου, ὁ 	law, custom
νόσος, νόσου, ἡ	disease, illness
νῦν 	now
νύξ, νυκτός, ἡ	night
ξένος, ξένου, ὁ 	stranger, foreigner, host, guest, friend
ξίφος, ξίφους, τό	sword
ὁ, ἡ, τό	the
ὅδε, ἥδε, τόδε	this
ὁδός, ὁδοῦ, ἡ 	road, path, way, journey
οἶδα	I know (present, participle and infinitive only)
οἰκέω	I live (in), inhabit, dwell
οἰκία, οἰκίας, ἡ	house, home
οἶνος, οἴνου, ὁ	wine
οἷος τ᾿ εἰμί	I am able, can
ὀκτώ	eight
ὀλίγος, ὀλίγη, ὀλίγον	little
ὀλίγοι, ὀλίγαι, ὀλίγα	few
ὄνομα, ὀνόματος, τό	name
ὅπλα, ὅπλων, τά	weapons, arms, armour
ὁράω, ὄψομαι, εἶδον, ὤφθην 	I see
ὀργίζομαι, ὀργιοῦμαι, ὠργίσθην + dat 	I grow angry (with)
ὄρος, ὄρους, τό	mountain, hill
ὅς, ἥ, ὅ	who, which
ὅτι	that
οὐ, οὐκ, οὐχ	not
οὐδείς, οὐδεμία, οὐδέν	no-one, nothing, no
οὐδέποτε	never
οὔτε … οὔτε	neither … nor …
οὖν	therefore, and so
οὐρανός, οὐρανοῦ, ὁ	sky, heaven
οὗτος, αὕτη, τοῦτο	this
οὕτω(ς) 	so, in this way
παῖς, παιδός, ὁ and ἡ	child, son, daughter, boy, girl
πάλαι	long ago, in the past, formerly
παρά + acc	contrary to, along, to
παρά + gen	from (a person)
παρασκευάζω	I prepare
παρέχω	I provide, cause, produce
πᾶς, πᾶσα, πᾶν	all, every
πάσχω, πείσομαι, ἔπαθον	I suffer, experience
πατήρ, πατρός, ὁ	father
παύω	I stop
παύομαι (middle) 	I stop, cease from (doing something)
πείθω	I persuade
πείθομαι, πείσομαι, ἐπιθόμην + dat	I obey
πειράομαι, πειράσομαι	I try
πέμπτος, πέμπτη, πέμπτον	fifth
πέμπω 	I send, escort
πέντε	five
περί + acc	round
περί + gen	about, concerning
πίνω, πιοῦμαι, ἔπιον	I drink
πίπτω, πεσοῦμαι, ἔπεσον 	I fall
πιστεύω + dat	I trust, believe
πιστός, πιστή, πιστόν	faithful, reliable
πλέω, πλεύσομαι, ἔπλευσα	I sail
πλήν	except
πλοῖον, πλοίου, τό	boat, cargo ship
πλούσιος, πλουσία, πλούσιον	rich
ποιέω	I do, make
ποῖος, ποία, ποῖον; 	what sort of?
πόλεμος, πολέμου, ὁ	war
πολέμιοι, πολεμίων, οἱ	the enemy
πόλις, πόλεως, ἡ	city, state
πολίτης, πολίτου, ὁ	citizen
πολλάκις	often
πολύς, πολλή, πολύ	much
πολλοί, πολλαί, πολλά	many
πορεύομαι, πορεύσομαι, ἐπορεύθην	I travel, march
πόσος, πόση, πόσον;  	how big? how much?
πόσοι, πόσαι, πόσα; 	how many?
ποταμός, ποταμοῦ, ὁ	river
πότε; 	when?
ποῦ; 	where?
ποῖ; 	to where?
πόθεν; 	from where?
πούς, ποδός, ὁ	foot
πράσσω, πράξω, ἔπραξα, ἐπράχθην	I do, fare, manage
πρό + gen	before, in front of
πρός + acc	to, towards, against
προσβάλλω + dat	I attack
πρότερον	before, formerly
πρῶτος, πρώτη, πρῶτον 	first
πρῶτον	at first, first
πύλη, πύλης, ἡ	gate
πυνθάνομαι, πεύσομαι, ἐπυθόμην	I learn, ascertain, ask
πῦρ, πυρός, τό	fire
πῶς;  	how?
ῥᾴδιος, ῥᾳδία, ῤᾴδιον	easy
σιγή, σιγῆς, ἡ	silence
σῖτος, σίτου, ὁ	food, corn, bread
σοφός, σοφή, σοφόν	wise, clever
στρατηγός, στρατηγοῦ, ὁ	general, commander
στρατιά, στρατιᾶς, ἡ	army
στρατιώτης, στρατιώτου, ὁ	soldier
σύ 	you
σός, σή, σόν	your
συλλέγω, συλλέξω, συνέλεξα	I collect, assemble
σύμμαχοι, συμμάχων, οἱ	allies
συμφορά, συμφορᾶς, ἡ	misfortune, disaster, event
σῴζω, σώσω, ἔσωσα, ἐσώθην	I save, keep, get away safely (passive)
σῶμα, σώματος, τό	body
ταχύς, ταχεῖα, ταχύ	fast, quick
… τε … καί	both … and
τεῖχος, τείχους, τό	wall
τέλος	end (adv. in the end), at last, finally
τέσσαρες, τέσσαρες, τέσσαρα	four
τέταρτος, τετάρτη, τέταρτον	fourth
τιμάω	I honour, respect
τίμη, τιμῆς, ἡ	honour
τις, τι	(a) certain, someone, something
τίς; τί;  	who? what? which?
τοιοῦτος, τοιαύτη, τοιοῦτο	such
τόπος, τόπου, ὁ	place
τοσοῦτος, τοσαύτη, τοσοῦτο	so great
τοσοῦτοι, τοσαῦται, τοσαῦτα	so many
τότε	then, at that time
τρεῖς, τρεῖς, τρία	three
τρέχω, δραμοῦμαι, ἔδραμον  	I run
τρίτος, τρίτη, τρίτον 	third
τύχη, τύχης, ἡ	chance, luck, fortune (good or bad)
ὕδωρ, ὕδατος, τό	water
υἱός, υἱοῦ, ὁ	son
ὕλη, ὕλης, ἡ	wood, forest
ὑμεῖς, ὑμῶν	you (plural)
ὑμέτερος, ὑμετέρα, ὑμέτερον	your
ὑπέρ + gen	on behalf of
ὑπισχνέομαι, ὑποσχήσομαι, ὑπεσχόμην 	I promise
ὕπνος, ὕπνου, ὁ	sleep
ὑπό + gen	by (with the agent of passive verbs)
ὕστερον	later
ὑψηλός, ὑψηλή, ὑψηλόν	high
φαίνομαι, φανοῦμαι, ἐφάνην	I seem, appear
φέρω, οἴσω, ἤνεγκα, ἠνέχθην	I carry, bear, endure
φεύγω, φεύξομαι, ἔφυγον	I run away, flee, am accused, am banished
φημί, φήσω, ἔφην	I say
φιλέω	I love, like, am accustomed
φίλη, φίλης, ἡ	(female) friend
φίλος, φίλου, ὁ	(male) friend
φοβέομαι, φοβήσομαι, ἐφοβήθην	I am afraid, fear
φόβος, φόβου, ὁ	fear
φονεύω	I murder, kill
φύλαξ, φύλακος, ὁ	guard
φυλάσσω	I guard
φωνή, φωνῆς, ἡ	voice
χαλεπός, χαλεπή, χαλεπόν	difficult, dangerous, harsh
χειμών, χειμῶνος, ὁ	storm, winter
χείρ, χειρός, ἡ	hand
χράομαι, χρήσομαι, ἐχρησάμην + dat	I use, treat
χρή (with acc + infin) 	it is necessary
χρήματα, χρημάτων, τά	money, goods, property
χρήσιμος, χρησίμη, χρήσιμον	useful
χρόνος, χρόνου, ὁ	time
χρυσός, χρυσοῦ, ὁ	gold
χώρα, χώρας, ἡ	country, land
ὦ	o … (addressing someone)
ὡς	when, as, because
ὡς τάχιστα	as quickly (etc) as possible
ὥστε	that, so that, with the result that
